x1,y1,x2,y2,type
92,80,188,195,sedan
138,0,213,77,sedan
101,73,202,202,sedan
248,0,316,73,suv
251,68,347,200,suv
142,24,218,110,sedan
118,70,213,190,sedan
123,48,204,140,sedan
107,77,199,188,sedan
252,25,336,132,suv
252,55,350,183,suv
131,0,205,84,microbus
94,34,190,188,microbus
135,7,202,80,sedan
98,77,189,187,sedan
127,15,203,127,microbus
108,50,196,187,microbus
228,45,310,137,sedan
227,75,320,191,sedan
213,0,277,61,sedan
201,81,295,198,sedan
244,4,311,78,sedan
247,83,340,209,sedan
142,0,201,62,sedan
100,80,186,186,sedan
1,36,90,127,sedan
128,4,197,80,sedan
78,77,179,201,sedan
197,16,275,101,sedan
184,77,287,204,sedan
222,1,299,95,suv
213,70,320,212,suv
143,1,211,68,microbus
106,46,203,195,microbus
117,0,210,108,minivan
82,43,201,192,minivan
134,11,209,117,microbus
109,55,198,191,microbus
239,4,305,74,sedan
238,86,332,203,sedan
217,38,291,122,sedan
18,2,128,97,minivan
212,86,304,197,sedan
2,28,116,144,minivan
264,28,342,145,microbus
267,55,354,192,microbus
130,12,215,117,microbus
98,65,207,213,microbus
113,40,190,123,sedan
84,87,179,197,sedan
118,35,206,139,suv
95,66,201,191,suv
25,14,101,88,sedan
118,1,192,68,suv
64,60,170,197,suv
98,49,181,144,sedan
82,77,176,187,sedan
180,1,244,58,sedan
163,77,255,190,sedan
257,36,322,114,sedan
129,2,193,73,sedan
259,85,340,185,sedan
105,47,185,139,sedan
180,47,267,150,sedan
170,74,267,200,sedan
93,47,183,149,sedan
94,50,193,194,microbus
245,13,326,126,suv
248,60,350,213,suv
122,14,202,107,suv
87,69,189,198,suv
116,41,199,136,sedan
96,76,192,195,sedan
129,15,209,102,sedan
97,72,198,202,sedan
116,46,201,141,sedan
140,0,198,63,sedan
91,76,177,192,sedan
126,36,203,124,sedan
104,72,196,190,sedan
249,32,325,116,sedan
252,83,342,191,sedan
177,22,255,106,sedan
152,84,250,208,sedan
140,12,211,88,sedan
106,74,201,188,sedan
137,0,201,60,sedan
89,81,181,196,sedan
134,0,200,68,sedan
88,84,185,202,sedan
130,39,208,123,sedan
105,87,199,199,sedan
130,10,198,109,microbus
101,59,188,193,microbus
142,0,215,73,suv
101,52,204,191,suv
152,1,216,69,sedan
108,85,205,200,sedan
216,22,295,111,sedan
205,76,309,205,sedan
63,44,143,136,sedan
41,77,132,186,sedan
231,37,316,140,suv
229,84,329,215,suv
110,14,183,120,microbus
84,57,171,192,microbus
127,4,196,74,sedan
82,88,180,204,sedan
131,4,199,74,sedan
85,79,181,191,sedan
111,17,198,132,microbus
88,51,189,197,microbus
117,4,199,110,microbus
84,53,186,199,microbus
94,43,176,132,sedan
70,78,166,190,sedan
239,6,306,80,sedan
38,1,110,66,sedan
237,80,334,201,sedan
133,9,206,90,sedan
98,79,194,204,sedan
211,30,290,120,sedan
199,86,302,216,sedan
132,13,201,87,sedan
90,85,185,200,sedan
109,25,187,107,sedan
11,4,85,77,sedan
75,81,172,189,sedan
72,11,196,198,minivan
123,24,201,105,sedan
86,87,186,209,sedan
97,46,180,136,sedan
74,86,169,200,sedan
108,3,179,71,sedan
39,109,147,232,sedan
142,1,209,67,sedan
91,85,189,198,sedan
72,27,156,113,sedan
31,78,136,199,sedan
120,0,184,53,sedan
61,77,159,190,sedan
139,22,214,105,sedan
113,76,209,189,sedan
236,0,300,60,sedan
240,86,332,204,sedan
55,45,139,135,sedan
25,84,126,197,sedan
121,27,201,110,sedan
95,75,192,190,sedan
134,9,203,87,sedan
95,84,189,203,sedan
79,44,177,189,microbus
101,48,192,146,sedan
80,83,184,208,sedan
103,28,193,130,suv
81,60,186,185,suv
124,1,189,57,sedan
75,73,167,183,sedan
102,33,189,138,suv
83,67,181,197,suv
91,47,180,149,sedan
69,83,171,211,sedan
120,49,203,144,sedan
103,83,198,199,sedan
240,11,307,83,sedan
88,112,192,233,sedan
242,76,330,187,sedan
104,16,177,95,sedan
66,81,160,199,sedan
112,29,192,139,microbus
235,28,308,111,sedan
89,65,185,204,microbus
234,68,321,176,sedan
84,75,182,220,microbus
231,77,324,193,sedan
126,53,202,144,sedan
111,84,198,193,sedan
136,30,213,115,sedan
113,79,206,196,sedan
142,6,209,80,sedan
102,80,193,194,sedan
114,36,192,129,sedan
91,78,184,199,sedan
129,35,207,119,sedan
109,74,201,181,sedan
93,45,198,197,microbus
112,28,190,143,microbus
95,58,184,194,microbus
44,5,111,72,sedan
82,47,199,191,minivan
131,1,189,61,microbus
72,65,163,192,microbus
101,47,188,142,sedan
83,78,180,192,sedan
135,10,203,84,sedan
99,84,188,195,sedan
124,22,198,100,sedan
90,82,184,195,sedan
70,79,171,216,suv
101,12,181,98,sedan
58,71,165,195,sedan
140,14,215,94,sedan
105,76,203,191,sedan
225,23,304,106,sedan
219,78,319,199,sedan
134,32,219,143,microbus
123,59,216,191,microbus
215,36,292,131,sedan
203,82,297,206,sedan
79,54,196,186,minivan
213,14,288,108,suv
205,63,301,194,suv
107,39,181,124,sedan
55,124,160,233,sedan
165,6,228,80,sedan
129,88,226,211,sedan
165,15,238,93,sedan
31,7,105,77,sedan
136,81,234,202,sedan
91,68,185,190,sedan
154,0,218,55,sedan
111,68,205,186,sedan
132,35,208,121,sedan
35,6,111,81,sedan
108,84,199,197,sedan
136,24,208,105,sedan
108,76,197,184,sedan
241,11,310,85,sedan
240,82,333,190,sedan
129,0,204,101,microbus
92,50,193,197,microbus
139,16,215,95,sedan
100,82,204,207,sedan
146,1,211,64,sedan
100,92,195,203,sedan
90,44,207,188,minivan
138,1,201,61,sedan
83,91,179,203,sedan
112,40,191,132,sedan
90,80,182,193,sedan
221,1,287,71,suv
215,77,313,211,suv
140,22,215,105,sedan
112,81,206,198,sedan
90,45,173,144,sedan
70,74,166,192,sedan
131,1,186,68,microbus
116,5,184,109,microbus
242,13,313,90,sedan
240,75,336,195,sedan
83,55,173,195,microbus
84,54,173,195,microbus
240,76,334,194,sedan
229,32,306,122,sedan
226,80,315,196,sedan
116,50,200,147,sedan
102,76,195,190,sedan
94,34,173,124,sedan
66,77,164,189,sedan
179,17,258,106,suv
173,75,276,206,suv
143,0,209,66,sedan
94,87,192,208,sedan
125,0,218,61,truck
64,0,214,190,truck
72,46,157,143,sedan
50,77,147,188,sedan
128,1,195,65,microbus
61,66,170,232,microbus
137,1,203,65,sedan
90,81,186,202,sedan
129,1,192,60,sedan
81,76,172,187,sedan
140,0,202,55,sedan
83,87,178,199,sedan
142,0,208,61,sedan
95,81,192,198,sedan
137,4,209,90,suv
88,95,192,232,suv
234,19,303,98,sedan
234,78,320,197,sedan
239,1,305,68,sedan
239,86,337,213,sedan
82,26,161,114,sedan
42,80,141,203,sedan
110,39,192,126,sedan
89,73,183,183,sedan
124,36,203,123,sedan
104,75,196,184,sedan
191,34,267,119,sedan
186,83,278,200,sedan
128,46,206,137,sedan
241,73,333,195,suv
121,0,185,61,sedan
60,97,160,222,sedan
133,0,196,62,sedan
79,85,173,200,sedan
165,0,228,59,sedan
130,81,222,197,sedan
2,44,87,130,sedan
245,0,308,65,suv
154,1,223,74,suv
114,68,213,195,suv
247,92,343,228,suv
119,42,199,133,sedan
92,87,191,210,sedan
118,17,204,144,microbus
100,45,198,203,microbus
130,1,196,67,sedan
79,77,179,198,sedan
130,1,195,65,sedan
78,82,173,203,sedan
120,37,199,128,sedan
134,1,198,66,sedan
82,85,173,195,sedan
124,43,199,126,sedan
104,87,192,196,sedan
140,10,209,90,sedan
107,72,199,190,sedan
243,45,324,134,sedan
242,85,337,198,sedan
107,15,183,110,suv
73,67,169,196,suv
131,1,195,68,microbus
87,56,177,186,microbus
167,0,236,68,sedan
142,79,236,203,sedan
89,42,166,133,sedan
69,81,157,193,sedan
129,0,193,60,sedan
88,79,179,195,sedan
121,1,187,65,sedan
140,0,205,65,sedan
104,81,199,202,sedan
128,47,208,143,sedan
117,75,206,189,sedan
240,0,306,63,sedan
248,77,339,195,sedan
143,0,213,72,sedan
114,78,208,195,sedan
219,1,283,59,sedan
216,79,313,209,sedan
238,0,307,81,sedan
242,70,334,195,sedan
142,0,207,57,suv
106,68,200,189,suv
126,0,192,56,sedan
78,83,177,209,sedan
129,28,209,118,sedan
108,73,207,197,sedan
143,19,219,103,sedan
124,76,219,193,sedan
176,18,253,101,sedan
163,62,255,176,sedan
115,36,201,143,suv
105,56,198,178,suv
137,2,207,78,sedan
106,67,201,183,sedan
129,4,199,79,sedan
100,73,194,186,sedan
105,11,178,117,microbus
85,47,170,182,microbus
146,8,219,87,sedan
120,78,217,204,sedan
85,0,196,178,minivan
64,17,193,233,minivan
97,10,193,119,minivan
76,42,188,178,minivan
134,8,204,83,sedan
104,77,197,193,sedan
218,25,297,119,sedan
222,69,314,189,sedan
127,3,196,75,sedan
96,80,186,191,sedan
61,2,194,192,minivan
133,0,195,63,microbus
100,47,185,175,microbus
57,29,132,107,sedan
229,7,301,87,sedan
231,71,326,196,sedan
15,86,110,193,sedan
143,5,213,77,sedan
116,74,206,187,sedan
112,48,190,141,sedan
98,76,187,186,sedan
246,58,340,183,suv
120,40,201,130,sedan
106,72,199,186,sedan
126,0,201,81,suv
99,61,198,186,suv
232,1,316,93,suv
242,52,343,193,suv
131,9,208,95,sedan
101,74,204,211,sedan
216,0,292,83,suv
218,63,318,193,suv
140,1,210,72,sedan
115,76,206,190,sedan
68,1,215,187,bus
49,0,192,190,bus
229,1,293,61,sedan
236,80,327,195,sedan
94,30,173,115,sedan
71,71,164,179,sedan
132,5,196,74,sedan
100,77,186,184,sedan
134,49,221,146,sedan
251,14,326,96,sedan
2,8,90,127,microbus
257,68,350,183,sedan
145,7,220,91,suv
121,72,216,197,suv
243,1,314,71,sedan
252,72,349,188,sedan
222,35,301,124,sedan
223,74,316,191,sedan
100,21,182,143,microbus
84,50,176,191,microbus
228,0,377,186,bus
130,1,194,73,microbus
212,20,284,99,sedan
215,69,303,175,sedan
129,5,197,76,sedan
97,77,188,190,sedan
105,57,192,163,sedan
97,33,177,156,microbus
143,1,211,69,sedan
112,81,206,194,sedan
117,0,192,76,sedan
78,64,178,183,sedan
228,1,293,59,sedan
232,73,324,189,sedan
179,0,255,85,suv
154,63,256,195,suv
133,29,209,112,sedan
34,4,104,71,sedan
117,78,206,188,sedan
2,39,84,125,sedan
142,34,225,137,suv
133,63,225,185,suv
240,1,316,73,microbus
248,44,348,186,microbus
90,21,167,108,sedan
61,72,158,195,sedan
233,7,315,121,microbus
234,42,331,186,microbus
169,53,251,146,sedan
229,0,295,65,sedan
234,78,328,194,sedan
139,22,224,135,suv
136,30,224,150,suv
262,44,360,183,microbus
68,53,153,153,sedan
93,31,216,188,minivan
90,0,193,139,microbus
74,2,186,189,microbus
147,0,208,63,sedan
127,53,206,147,sedan
117,82,204,192,sedan
105,7,177,82,sedan
70,70,165,185,sedan
181,13,249,88,sedan
154,80,247,190,sedan
109,46,201,159,sedan
106,58,201,178,sedan
132,3,205,81,sedan
106,66,202,184,sedan
250,6,323,82,sedan
262,73,359,193,sedan
134,13,209,93,sedan
108,71,204,189,sedan
251,44,336,144,sedan
254,70,348,188,sedan
78,0,225,180,truck
121,8,196,115,microbus
103,43,192,176,microbus
97,22,169,104,sedan
67,80,157,193,sedan
236,5,306,83,sedan
26,2,94,71,sedan
239,71,334,192,sedan
113,41,193,131,sedan
101,69,192,177,sedan
105,28,186,117,sedan
83,68,177,182,sedan
104,26,189,114,sedan
233,3,301,78,sedan
236,73,329,190,sedan
154,18,235,116,suv
135,70,235,198,suv
110,33,193,125,sedan
94,68,188,182,sedan
88,9,170,121,microbus
72,41,163,181,microbus
131,0,204,82,suv
105,47,201,182,suv
81,15,155,97,sedan
226,0,307,87,microbus
229,24,321,143,microbus
51,68,141,183,sedan
124,1,193,74,sedan
94,61,187,177,sedan
96,37,185,143,suv
256,32,332,124,sedan
262,73,350,188,sedan
118,47,201,139,sedan
104,72,199,180,sedan
95,20,203,146,minivan
82,40,203,183,minivan
74,44,154,139,sedan
116,36,203,149,suv
103,66,202,199,suv
109,12,184,96,minivan
78,69,175,184,minivan
74,1,203,191,minivan
237,0,306,69,sedan
60,53,169,176,minivan
49,66,165,201,minivan
125,27,203,115,sedan
108,68,199,184,sedan
126,0,191,80,microbus
90,62,179,196,microbus
131,1,202,76,sedan
99,69,190,183,sedan
120,13,193,93,sedan
111,30,191,122,sedan
130,18,208,110,sedan
109,65,206,188,sedan
239,8,321,111,suv
244,48,342,181,suv
244,68,352,220,suv
128,7,199,81,sedan
98,72,192,188,sedan
103,1,179,93,suv
69,53,169,188,suv
117,3,201,119,microbus
98,37,196,183,microbus
243,4,311,76,sedan
83,0,157,85,suv
245,18,316,95,sedan
75,7,153,106,suv
43,57,140,193,suv
252,72,340,177,sedan
42,57,140,193,suv
84,3,207,179,minivan
107,31,193,150,suv
93,54,191,191,suv
131,57,213,155,sedan
124,76,212,187,sedan
58,1,215,180,truck
234,47,321,151,sedan
236,67,330,184,sedan
134,4,198,74,sedan
100,81,188,193,sedan
64,11,149,108,suv
14,70,125,206,suv
117,2,188,77,sedan
83,71,178,184,sedan
129,15,200,92,sedan
105,71,195,181,sedan
140,3,200,72,sedan
110,77,193,183,sedan
112,55,202,159,sedan
105,73,201,188,sedan
175,5,244,81,sedan
157,78,250,201,sedan
137,7,205,81,sedan
113,70,201,177,sedan
127,38,200,124,sedan
90,136,193,232,sedan
240,1,308,74,sedan
248,71,340,186,sedan
129,6,196,81,sedan
93,82,185,201,sedan
109,0,182,94,microbus
78,42,171,180,microbus
90,37,181,146,suv
80,58,176,181,suv
128,47,210,143,sedan
129,3,198,75,sedan
101,73,191,183,sedan
154,21,232,114,sedan
144,59,233,178,sedan
240,0,304,69,sedan
249,72,337,184,sedan
131,34,208,125,sedan
117,74,206,191,sedan
122,45,202,142,sedan
109,74,201,190,sedan
148,26,230,124,suv
136,57,228,179,suv
130,1,193,74,sedan
98,73,186,183,sedan
108,49,193,150,sedan
97,70,190,185,sedan
86,32,162,118,sedan
65,74,153,183,sedan
229,52,313,149,sedan
230,77,323,188,sedan
93,14,185,157,microbus
85,27,182,182,microbus
132,0,226,114,microbus
107,16,220,199,microbus
132,1,200,76,microbus
100,72,190,191,microbus
247,50,349,209,microbus
83,38,169,148,suv
87,32,174,134,sedan
70,59,170,181,sedan
234,3,303,75,sedan
242,87,340,209,sedan
136,1,209,79,microbus
105,40,206,192,microbus
137,17,212,101,sedan
112,77,209,202,sedan
0,28,80,108,sedan
102,9,185,108,suv
68,66,175,202,suv
237,30,310,119,sedan
239,69,326,180,sedan
0,4,92,95,minivan
244,139,350,232,sedan
113,13,184,93,sedan
80,76,174,198,sedan
144,24,220,115,sedan
128,73,223,200,sedan
88,48,175,149,sedan
81,65,173,177,sedan
256,100,356,233,sedan
69,0,213,190,truck
237,4,302,75,sedan
39,0,206,232,truck
249,81,338,191,sedan
251,90,344,210,sedan
255,126,360,233,sedan
235,4,300,76,sedan
240,78,329,192,sedan
240,88,334,209,sedan
242,122,345,233,sedan
105,36,186,128,sedan
90,66,181,179,sedan
233,4,300,76,sedan
238,76,328,191,sedan
255,0,333,93,suv
263,49,361,184,suv
214,7,283,81,sedan
231,81,326,200,sedan
61,0,193,175,minivan
119,13,199,105,suv
96,65,195,190,suv
104,36,188,131,sedan
122,28,194,113,sedan
101,74,188,187,sedan
121,29,209,155,microbus
97,86,206,234,microbus
132,5,200,78,sedan
121,34,198,119,sedan
194,19,267,98,sedan
36,8,112,83,sedan
194,26,269,110,sedan
32,12,109,91,sedan
192,73,284,186,sedan
3,43,95,139,sedan
147,7,218,84,sedan
118,75,215,197,sedan
136,4,208,94,suv
105,69,202,202,suv
130,2,200,77,sedan
97,72,193,187,sedan
136,6,206,78,sedan
120,50,203,145,sedan
81,149,195,233,sedan
102,35,184,128,sedan
232,3,301,76,sedan
229,73,325,190,sedan
145,5,204,75,sedan
128,50,201,142,sedan
125,58,199,157,sedan
106,109,194,232,sedan
5,11,90,105,suv
247,49,335,154,sedan
248,64,343,181,sedan
90,12,162,86,sedan
55,70,147,181,sedan
125,22,200,110,sedan
104,65,195,180,sedan
97,42,179,137,sedan
83,68,173,181,sedan
152,5,220,78,sedan
127,79,218,194,sedan
236,11,304,86,sedan
241,81,331,191,sedan
25,36,108,124,sedan
130,1,198,74,suv
97,64,192,188,suv
138,1,205,71,sedan
107,68,196,178,sedan
115,6,185,81,sedan
79,75,172,194,sedan
139,3,207,75,sedan
108,77,201,190,sedan
113,4,179,76,sedan
73,75,160,185,sedan
144,0,212,73,sedan
111,74,205,196,sedan
115,32,194,122,sedan
97,71,188,188,sedan
104,62,195,169,sedan
78,120,188,233,sedan
136,14,209,94,sedan
114,78,207,190,sedan
122,24,195,106,sedan
110,52,190,149,sedan
97,78,186,191,sedan
74,132,179,233,sedan
12,35,97,123,sedan
0,50,90,149,sedan
245,20,321,104,sedan
247,33,328,123,sedan
144,1,207,73,microbus
111,52,198,193,microbus
233,3,300,75,sedan
14,8,90,82,sedan
235,28,311,116,sedan
235,44,317,140,sedan
237,71,327,184,sedan
127,13,191,91,sedan
100,78,181,189,sedan
102,24,175,139,microbus
241,38,327,148,suv
244,62,337,188,suv
132,0,205,73,microbus
98,40,199,190,microbus
117,50,202,150,sedan
113,58,201,162,sedan
108,67,200,177,sedan
122,54,209,156,sedan
113,44,194,139,sedan
99,72,190,188,sedan
85,100,186,233,sedan
109,63,200,195,microbus
99,89,191,233,microbus
104,1,185,88,sedan
83,52,181,187,sedan
108,75,181,159,sedan
103,90,181,181,sedan
100,64,180,159,sedan
95,75,180,178,sedan
115,15,174,77,sedan
88,91,174,197,sedan
82,34,160,147,microbus
73,53,158,183,microbus
78,59,149,140,sedan
62,88,140,186,sedan
68,65,145,155,sedan
57,88,142,190,sedan
86,61,158,144,sedan
75,90,156,188,sedan
155,36,219,104,sedan
150,91,232,187,sedan
139,5,199,86,microbus
48,0,103,49,sedan
123,74,210,205,microbus
30,14,93,79,sedan
110,20,166,75,sedan
88,98,167,193,sedan
115,17,173,78,sedan
200,0,286,140,minivan
92,86,172,188,sedan
97,65,169,147,sedan
86,95,170,196,sedan
115,21,170,78,sedan
94,94,172,190,sedan
94,9,158,86,suv
63,73,154,197,suv
79,59,149,140,sedan
67,90,145,186,sedan
94,64,162,147,sedan
86,90,163,187,sedan
207,31,267,95,sedan
222,103,305,202,sedan
83,56,154,137,sedan
66,100,149,205,sedan
195,1,271,73,minivan
205,65,318,182,minivan
200,45,283,159,microbus
204,68,293,198,microbus
196,56,262,130,sedan
200,91,278,182,sedan
72,19,140,108,microbus
44,63,132,191,microbus
76,1,145,70,minivan
34,7,134,177,minivan
113,42,183,114,sedan
100,90,186,193,sedan
118,40,185,113,sedan
103,87,188,192,sedan
115,38,176,104,sedan
100,93,177,186,sedan
86,48,158,129,sedan
71,81,154,183,sedan
220,102,313,229,suv
59,28,181,213,minivan
117,7,179,81,suv
93,73,183,196,suv
112,1,183,72,minivan
83,21,186,186,minivan
93,50,165,126,sedan
79,93,162,190,sedan
93,65,165,143,sedan
82,96,164,191,sedan
75,1,174,112,truck
48,1,176,190,truck
138,28,201,93,sedan
134,95,219,196,sedan
104,13,159,74,suv
77,80,155,181,suv
117,15,173,75,sedan
92,86,171,181,sedan
196,54,273,144,microbus
200,79,286,186,microbus
116,44,182,121,sedan
102,86,182,187,sedan
206,64,274,148,sedan
91,40,160,111,sedan
70,91,156,192,sedan
91,1,179,101,minivan
68,1,183,180,minivan
93,45,162,134,suv
80,80,160,193,suv
30,15,90,85,suv
108,42,172,114,sedan
91,96,170,193,sedan
114,15,168,74,sedan
91,84,166,177,sedan
80,24,142,84,sedan
45,91,127,184,sedan
103,63,172,144,sedan
93,94,171,190,sedan
50,0,161,123,bus
30,1,159,178,bus
195,38,265,116,suv
200,89,289,197,suv
89,1,167,101,microbus
64,33,163,189,microbus
96,50,158,119,sedan
79,96,156,188,sedan
91,66,161,145,sedan
85,89,161,178,sedan
93,43,155,113,sedan
73,92,150,187,sedan
78,61,154,147,sedan
64,88,151,192,sedan
217,33,286,114,sedan
218,85,303,190,sedan
125,1,202,109,microbus
120,35,218,193,microbus
108,11,187,104,suv
83,61,180,188,suv
78,52,165,154,sedan
69,71,161,186,sedan
111,19,179,95,sedan
78,88,169,204,sedan
121,7,199,102,microbus
98,55,195,192,microbus
106,0,181,101,microbus
74,50,171,197,microbus
106,18,176,95,sedan
77,85,166,204,sedan
218,1,286,78,suv
219,40,303,144,suv
222,75,315,197,suv
123,18,195,98,sedan
94,77,186,194,sedan
100,30,170,108,sedan
71,81,161,194,sedan
201,14,271,121,microbus
200,63,286,200,microbus
181,1,260,107,microbus
176,50,274,201,microbus
92,7,177,95,minivan
55,60,171,192,minivan
117,23,184,98,sedan
91,86,177,195,sedan
109,37,184,123,sedan
90,85,179,200,sedan
111,14,185,104,suv
82,74,176,202,suv
101,6,172,106,microbus
62,66,156,209,microbus
211,22,279,97,sedan
212,90,301,203,sedan
124,0,184,64,sedan
98,56,178,148,sedan
85,86,174,195,sedan
214,25,281,101,sedan
216,92,304,203,sedan
111,21,180,96,sedan
87,71,172,175,sedan
205,19,274,99,sedan
195,85,286,204,sedan
75,39,156,152,microbus
59,65,151,197,microbus
205,22,277,91,sedan
201,88,296,198,sedan
98,21,169,100,sedan
68,84,158,204,sedan
108,0,185,108,microbus
81,45,177,200,microbus
98,64,184,160,sedan
91,82,183,189,sedan
123,20,191,98,sedan
97,82,186,200,sedan
205,62,290,167,sedan
204,93,299,217,sedan
223,50,304,143,sedan
224,81,315,195,sedan
81,51,165,149,sedan
62,84,158,210,sedan
59,48,138,158,microbus
44,73,131,200,microbus
208,18,273,93,sedan
205,90,296,213,sedan
191,29,265,112,sedan
186,78,278,195,sedan
114,18,183,94,sedan
85,83,174,199,sedan
217,11,293,103,suv
218,69,314,197,suv
119,8,198,119,microbus
99,49,195,198,microbus
119,24,190,104,sedan
93,84,184,203,sedan
98,57,176,147,sedan
85,84,172,190,sedan
216,52,288,137,sedan
217,94,301,202,sedan
95,59,176,160,sedan
86,80,173,193,sedan
222,38,296,122,sedan
225,85,313,197,sedan
115,21,183,96,sedan
88,85,176,193,sedan
189,7,263,93,suv
185,61,278,185,suv
121,25,192,106,sedan
96,78,184,191,sedan
96,1,171,106,microbus
66,52,163,204,microbus
224,25,292,103,sedan
227,85,318,201,sedan
124,21,193,99,sedan
101,84,186,197,sedan
100,34,177,122,sedan
75,85,168,211,sedan
120,14,188,118,microbus
95,71,182,213,microbus
